	Code	Skill Key	Skill Name	Activation	Target	Requirement	Description	
	1.2	limit_reaper_shock	Reaper: Shock	Passive			Each attack in Reaper mode has 50% chance to Shock target.	
	1.3	shield_slinger	Shieldslinger	Passive			Halve shield weight requirement	
	1.3	shield_increase_hp	Increase HP	Passive			Increase HP Pool	
	1.3	shield_bash	Shield Bash	Active	enemy_single	has_equipped_shield	Bash with Shield	
	1.3	shield_bash_stagger	Shield Bash: Stagger	Passive			10% chance to Stagger, increased with Limit.	
	1.3	shield_counterattack	Counterattack	Passive		has_equipped_shield	Unblocked attack has 10% chance to be countered. Increased with Limit	
	1.3	shield_balance	Shield Balance	Passive		has_equipped_shield	Confers immunity to Stagger.	
	1.3	shield_disarm_protection	Shield Disarm Protection	Passive		has_equipped_shield	Throws equipped Shield at assailant when Shield is Disarmed. Assailant is Staggered, Shield is still Disarmed and needs to be picked up.	
	1.3	shield_charge	Shield Charge	Active	tile	has_equipped_shield	Charge with shield at target for 7 tiles. Cancels any stance	
	1.3	shield_charge_aftershock	Charge: Aftershock	Passive			If Charge path collides with a second object, the first target charged at is Staggered. Deals damage to the object collided with	
	1.3	shield_charge_momentum	Charge: Momentum	Passive			Add damage based on self weight	
	1.3	shield_devotion	Devotion	Active	ally_single	has_equipped_shield	Absorbs all damage from an ally. Must stand adjacent to ally	
	1.3	shield_devotion_range	Devotion: Range	Passive			Devotion range is increased to 3 tiles	
	1.3	shield_devotion_multi	Devotion: Multi	Passive			May use Devotion up to 3 allies.	
	1.3	shield_sustained_defense	Sustained Defense	Passive		stance_non_aggressive	Increase Defense while in non-aggressive stance	
	1.3	shield_mental_resistance	Mental Resistance	Passive		stance_non_aggressive	Increase resistance to Mental Impairment while in non-aggressive stance	
	1.3	shield_combative	Shield Combative	Passive			Increase Shield damage by 50%	
	1.3	shield_rescue	Rescue	Active	ally_single	ally_incapacitated	Moves towards incapacitated ally and protects them from Killing Blows as long as the caster is alive. Cancels all stance, normal combat continues on the following turn.	
	2.1	dual_wield	Dual Wielding	Passive			Allows equipping two melee weapons. Off-hand deals 50% damage, main-hand deals 70% damage.	
	2.1	dual_wield_off_hand	Dual Wielding Off-Hand Mastery	Passive			Off-hand deals 75%	
	2.1	dual_wield_main_hand	Dual Wielding Main-Hand Mastery	Passive			Main-hand deals 100% damage	
	2.1	dual_wield_parry	Parry	Passive		has_equipped_dual_wield	10% chance to Block melee strike. Increases with Trance.	
	2.1	dual_wield_flurry	Flurry	Passive		has_equipped_dual_wield	Normal attack while dual wielding does not end turn. After every 2 attacks, damage output is reduced by 25%	
	2.1	dual_wield_flurry_respiration	Flurry: Respiration	Passive			Damage penalty is reduced to 10%	
	2.1	dual_wield_flurry_pommel_strike	Flurry: Pommel Strike	Active	self	has_equipped_dual_wield, dual_wield_strike_count_2	10% chance to Stagger. Usable after 2 attack from both arms. Chance increases with Trance.	
	2.1	dual_wield_flurry_cross_break	Flurry: Cross Break	Active	self	has_equipped_dual_wield	Strike with both weapons at the same time. If used as last action, guarantees Parry for the next incoming attack	
	2.1	dual_wield_windfall	Windfall	Passive		has_equipped_dual_wield	If a normal attack kills a target, refund AP cost for the killing blow	
	2.1	dual_wield_cyclone	Cyclone	Active		has_equipped_dual_wield	Swings both weapons in full circle, hitting all target within 1-tile with both main-hand and off-hand	
	2.1	dual_wield_cyclone_continuum	Cyclone: Continuum	Passive			Cyclone is not turn-ending	
	2.1	dual_wield_cyclone_burst	Cyclone: Burst	Passive			Subsequent Cyclone executions cost half of its AP cost	
	2.1	dual_wield_cyclone_whirlwind	Cyclone: Whirlwind	Passive			Free move within 3 tiles after Cyclone executions	
	2.1	dual_wield_cyclone_equalizer	Cyclone: Equalizer	Passive			While performing cyclone, both arms is at 100% effectiveness	
	2.1	dual_wield_pulverize	Pulverize	Active	enemy_single	has_equipped_dual_wield	Single strike that increases damage exponentially based on remaining AP	
	2.1	dual_wield_pulverize_overpower	Pulverize: Overpower	Passive			Pulverize has 10% chance to break armor	
	2.1	dual_wield_pulverize_kinetic_strike	Pulverize: Kinetic Strike	Passive			Adds 10% damage that bypass armor. Increases with Trance.	
	2.1	dual_wield_pulverize_ground_slam	Pulverize: Ground Slam	Passive			Enemies within 1 tile of target has 10% chance to be Staggered. Increases with Trance	
	2.2	polearm_powergrip	Powergrip	Passive		has_only_one_melee_weapon	Hold a melee weapon with both hands. Attack costs 25% less ap and deals 50% extra damage.	
	2.2	polearm_poleslinger	Polearm: Slinger	Passive			Halves Polearm weight requirement	
	2.2	polearm_equip	Polearm	Passive			Allows equipping Polearm-class weapons. 100% extra AP cost for movement.	
	2.2	polearm_reach	Polearm: Reach	Passive			Polearm has 2-tiles melee range	
	2.2	polearm_mobility	Polearm: Mobility	Passive			Reduce movement penalty to 50%	
	2.2	polearm_damage	Polearm: Damage	Passive			Increase damage output from Polearm	
	2.2	polearm_dance	Polearm: Dance	Passive			Polearm attacks do not end turn. Each special moves can only be performed once per turn.	
	2.2	polearm_modular	Polearm: Modular	Passive			Switching between Modular Polearm to its Dual Wield form do not cost AP	
	2.2	polearm_thrust	Polearm: Thrust	Active	enemy_single	has_equipped_polearm	25% chance to Pierce.	
	2.2	polearm_swings	Polearm: Swing	Active	tile	has_equipped_polearm	Sweep 180 degrees. Can only be activated after Thrust	
	2.2	polearm_smash	Polearm: Smash	Active		has_equipped_polearm, not_previous_target	Adds 10% chance to Stagger. Must change target to use.	
	2.2	polearm_spin	Polearm: Spin	Active	enemy_single	has_equipped_polearm, not_previous_target	Attack and move towards target. Must change target to use.	
	2.2	polearm_jump	Polearm: Jump	Active	tile	has_equipped_polearm	Jump high and strike from air. Can only be used as first Polearm move in a turn.	
	2.2	polearm_boomerang	Polearm: Boomerang	Active	enemy_single	has_equipped_polearm	Throw Polearm at target up to 3 tiles away. Automatic Polearm recovery	
	2.2	polearm_earthshatter	Earthshatter	Active	tile	has_equipped_polearm, has_weapon_property_maul	Require Polearm with Maul property. 50% to Stagger unit on targeted tile.	
	2.2	polearm_earthshatter_shockwave	Earthshatter: Shockwave	Passive			Enemies standing on tiles around Earthshattered tile has 25% chance to be Staggered	
	2.2	polearm_earthshatter_leap	Earthshatter: Leap	Passive			Leap up to 3 tiles away to deliver Earthshatter. Must land on unoccupied tile. Leap can bypass occupied tile.	
	2.3	blood_overcharge	Overcharge	Active	self		Burn 100 AP to increase AP pool by 100 for the next turn	
	2.3	blood_trance	Unlock: Trance Mechanics	Passive			Unlock Trance Meter. Trance is filled after 50 melee strikes while HP is less than 20%. Trance lasts for one turn.	
	2.3	blood_trance_power_surge	Trance: Power Surge	Passive			While in Trance, increase damage by 50%	
	2.3	blood_trance_blood_revels	Trance: Blood Revels	Passive			HP pool required to fill meter increased to 40%	
	2.3	blood_trance_diabolical	Trance: Diabolical	Passive			Trance lasts 3 turns.	
	2.3	blood_trance_hardening	Trance: Defense Hardening	Passive			Increase Defense while in Trance	
	2.3	blood_trance_partial_recovery	Trance: Partial Recovery	Passive			Refills Trance after it ends based on difference between HP pool and the Trance-fill trigger.	
	2.3	blood_trance_mindful	Trance: Mindful	Passive			Allows 2 active self-targeted Trance effects	
	2.3	blood_trance_roar	Trance: Roar	Active	self		Trance effects. Reduce physical defense of all enemies within 3 tiles	
	2.3	blood_trance_berserk	Trance: Berserk	Active	self		Trance effects. Further gain bonus damage based on missing HP pool	
	2.3	blood_trance_arc_wave	Trance: Arc Wave	Active	self		Trance effects. Every normal attack using Polearm deals physical damage 3 tiles beyond target	
	2.3	blood_trance_blood_rage	Trance: Blood Rage	Active	self		Trance effects. First kill at each turn restore AP to full	
	2.3	blood_trance_firebrand	Trance: Firebrand	Active	self		Trance effects. Burning does not inflict Fire damage	
	2.3	blood_trance_warcry	Trance: Warcry	Active	self		Trance effects. Allies within 3 tiles receive bonus to PATK and attack speed	
	2.3	blood_trance_ravage	Trance: Ravage	Active	enemy_single		Mark a target. Halves AP costs for all actions used against marked taret.	
	2.3	blood_trance_rage_strike	Trance: Rage Strike	Active	enemy_single	has_not_equipped_polearm, has_not_equipped_shield	Moves in straight line at half AP cost towards target and confers free attack. Cannot equip Polearm or Shield.	
	2.3	blood_trance_sonic_wave	Trance: Sonic Wave	Active	enemy_single		Strikes a target with 50% chance to knockback one tile. Skill is repeated for free if target is knocked back.	
	3.1	brawl_graceful	Graceful Brawling	Passive			Attacks using fist and feet does not end turn. Arms deal 75% damage	
	3.1	brawl_main_hand_mastery	Brawl: Main Hand Mastery	Passive			Main Hand deals 100% damage	
	3.1	brawl_off_hand_mastery	Brawl: Off Hand Mastery	Passive			Off Hand deals 100% damage	
	3.1	brawl_footwork	Brawl: Footwork	Passive			Allows use of feet to attack. Feet deal 40% damage	
	3.1	brawl_foot_mastery	Footwork: Mastery	Passive			Feet deals 75% damage	
	3.1	brawl_inner_strength	Brawl: Inner Strength	Passive			Brawling attacks have 10% chance to ignore armor	
	3.1	brawl_fist_implements	Brawl: Fist Implements	Passive			Allows use of Fist Implements	
	3.1	brawl_blind_fighting	Brawl: Blind Fighting	Passive			Confers immunity to Blind	
	3.1	brawl_posion_immunity	Poison Immunity	Passive			Confers immunity to Poison	
	3.1	brawl_burning_heart	Burning Heart	Passive			Confers immunity to Chill (but not Frozen)	
	3.1	brawl_iron_skin	Iron Skin	Passive		is_unarmored	When unarmored, reduce incoming damage by 25% * number of Momentum Orb	
	3.1	brawl_iron_fist	Iron Fist	Passive		is_bare_handed	10% * number of Momentum Orb chance to block attack using fist or fist implements	
	3.1	brawl_lightning_reflexes	Lightning Reflexes	Passive		is_unarmored	Adds 10% * number of Momentum Orb chance to dodge melee attacks	
	3.1	brawl_bullet_time	Bullet Time	Passive		is_unarmored	Adds 5% * number of Momentum Orb chance to dodge ranged attacks	
	3.1	brawl_balance	Heavenly Balance	Passive		is_unarmored	50% chance to nullify Stagger	
	3.1	brawl_stigma	Stigma	Passive			Delays Maimed effect for 3 seconds	
	3.1	brawl_master_of_mind	Master of Mind	Active	self		Spend one full turn to remove a random impairment	
	3.1	brawl_windcatcher	Windcatcher	Passive			5% * number of Momentum Orb chance to capture thrown weapons/flask and rethrow it back	
	3.2	momentum_summon_orb_1	Summon Momentum Orb I	Active			Summons up to 3 Momentum Orb. Target can only retain up to 2 Orbs	
	3.2	momentum_summon_orb_2	Summon Momentum Orb II	Active			Summons up to 5 Momentum Orb. Target can only retain up to 4 Orbs	
	3.2	momentum_summon_orb_3	Summon Momentum Orb III	Active			Summons up to 7 Momentum Orb. Target can retain up to 7 Orbs	
	3.2	momentum_zen	Zen	Passive			Summons maximum number of Momentum Orb. AP use accumulates.	
	3.2	momentum_orb_1	Momentum I	Passive			Target can retain 3 Orbs: Decrease physical defense by 10%	
	3.2	momentum_orb_2	Momentum II	Passive			Target can retain 4 Orbs: Non-fist attacks have 5% chance to ignore armor	
	3.2	momentum_orb_3	Momentum III	Passive			Target can retain 5 Orbs: Fist attacks have additional 10% chance to crit	
	3.2	momentum_orb_4	Momentum IV	Passive			Target can retain 6 Orbs: Fist attacks cost 25% less AP	
	3.2	momentum_orb_5	Momentum V	Passive			Target can retain 7 Orbs: Fist attacks have 5% chance to Maim random limbs	
	3.2	momentum_acrobatic_blitz	Acrobatic Blitz	Passive			Start: 1 arm, End: 2 feet	
	3.2	momentum_azimuth_diver	Azimuth Diver	Passive			Start: 2 feet, End: 2 arms	
	3.2	momentum_cross_somersault	Cross Somersault	Passive			Start: 1 foot 1 arm, End: 1 arm 1 foot	
	3.2	momentum_heavenly_fist	Heavenly Fist	Passive			Start: 1 arm, End: 2 arms	
	3.2	momentum_vulture_gale	Vulture Gale	Passive			Start: 2 arms, End: 2 arms	
	3.2	momentum_guillotine_ram	Guillotine Ram	Passive			Start: 1 arm 1 foot, End: 1 foot 1 arm	
	3.2	momentum_searing_flare	Searing Flare	Passive			Alternating arm and feet	
	3.2	momentum_throw_orb	Throw Momentum Orb	Active	enemy_single	has_momentum_orb	Use Momentum Orb for ranged attack up to 7 tiles	
	3.2	momentum_chakra	Chakra	Active	self		Use Momentum Orb to heal self. Requires full turn	
	3.3	stealth_conceal	Conceal	Active	self	has_not_equipped_shield, has_not_equipped_polearm	Enter Stealth Mode, can only be used once per combat. Must be 7 tiles away from any enemies. Any actions other than moving breaks Stealth	
	3.3	stealth_conceal_ghostwalker	Conceal: Ghostwalker	Passive			Reduce enemies' detection radius	
	3.3	stealth_conceal_phantom_strike	Conceal: Phantom Strike	Passive			First strike from Stealth mode ignores armor	
	3.3	stealth_conceal_absolutely_critical	Conceal: Absolutely Critical	Passive			First strike from Stealth mode adds 50% critical chance	
	3.3	stealth_conceal_preemptive_strike	Conceal: Pre-emptive Strike	Passive			First strike from Stealth mode does not cost action and does not end turn	
	3.3	stealth_conceal_lone_ranger	Conceal: Lone Ranger	Passive			Double damage on first strike when breaking Stealth more than 7 tiles away from allies	
	3.3	stealth_silent_killer	Conceal: Silent Killer	Passive			Killing blows do not break stealth. Can only occur once per turn.	
	3.3	stealth_death_blossom	Death Blossom	Passive	self	has_throwables_small	Throws Throwables: Small at all units within 3-tiles radius. Must be performed while in Stealth. Conceal bonus applies to all attacks. End Stealth regardless of Silent Killer ability.	
	3.3	stealth_deployment	Stealthed Deployment	Passive		has_not_equipped_shield, has_not_equipped_polearm	Enter combat in Stealthed mode. Allows free reposition anywhere in battlefield.	
	3.3	stealth_blindside	Blindside	Passive			Melee attacks while performing Rear Assault ignores armor	
	3.3	stealth_coup_de_grace	Coup de Grace	Active	enemy_single	target_is_flanked_rear	Chance for instant kill the lower the target's remaining HP is. Can only be performed in Rear Attack. Deals normal damage if fails.	
	3.3	stealth_windwalk	Windwalk	Passive			Reduce movement AP cost by 50% while Stealthed	
	3.3	stealth_lightfoot	Lightfoot	Passive			While Stealthed, does not trigger trap as long as unit does not end turn on it. Does not reveal trap	
	3.3	stealth_mug	Mug	Passive			Melee attack has chance to cause target to drop random unequipped item.	
	3.3	stealth_mug_poach	Mug: Poach	Passive			Instead of dropping, Mug has chance to acquire item instead.	
	3.3	stealth_moulinet	Moulinet	Passive			When engaged from Flank or Rear, confers one free attack. Mug bonus applies.	
	3.3	stealth_unbind	Unbind	Active	ally_single		Remove Bound status from allies, not from self. Free action.	
	3.3	stealth_unbind_self	Unbind: Self	Passive			Can remove Bound status from self. 	
	4.1	marksmanship_bow	Bow Mastery	Passive			Confers accuracy and damage bonus based on DEX and Impulse when using Bow	
	4.1	marksmanship_firearm	Firearm Mastery	Passive			Confers accuracy bonus based on DEX and Impulse when using Firearms	
	4.1	marksmanship_mounted_crossbow	Mounted Crossbow	Passive			Allows Mounted Crossbow use	
	4.1	marksmanship_mounted_pistol	Mounted Pistol	Passive			Allows Mounted Pistol	
	4.1	marksmanship_return_fire	Return Fire	Passive			Fire back at ranged attacker with mounted weaponry	
	4.1	marksmanship_strong_back	Strong Back	Passive			Halves ammunition weights	
	4.1	marksmanship_rapid_reload	Rapid Reload	Passive			Reloading ranged and mounted weapons do not end turn and its AP cost reduced based on Impulse	
	4.1	marksmanship_firearm_dualwield	Firearms Dual Wield	Passive			Allows dual wielding Firearms at 25% accuracy for both arms	
	4.1	marksmanship_firearm_dualwield_main_hand_1	Firearms Dual Wield Main Hand I				Increase Firearms main-hand accuracy to 75%	
	4.1	marksmanship_firearm_dualwield_off_hand_1	Firearms Dual Wield Off Hand I				Increase Firearms off-hand accuracy to 50%	
	4.1	marksmanship_double_tap	Double Tap	Active	enemy_single		Shoot ranged weapons twice, dealing base 200% damage, improved by Impulse	
	4.1	marksmanship_strafe	Strafe	Active	tile		Move in a straight line up to 3 tiles and strafe are parallel to movement direction. Higher Impulse grants longer distance.	
	4.1	marksmanship_knockback	Knockback	Active	enemy_single		Deal normal damage with Bow, knocking back the target for 3 tiles. Higher Impulse knocks target back further.	
	4.1	marksmanship_hail_of_arrows	Hail of Arrows	Active	aoe		Saturate 3-tile radius with 16 arrow	
	4.1	marksmanship_hail_of_arrows_rainmaker	Hail of Arrows: Rainmaker	Passive			Increase Hail of Arrow AoE to 4-tiles using 32 arrows	
	4.1	marksmanship_scatter_shot	Scatter Shot	Active	aoe		Short-range 60-degrees spray with Firearm: Slug up to 3 tiles-distance. 50% accuracy penalty	
	4.1	marksmanship_sniped_shot	Sniped Shot	Active	enemy_single		Long-range shot with Firearm: Rifled. Reduces long distance penalty, but severly increase short distance penalty.	
	4.1	marksmanship_walking_target	Walking Target	Active	enemy_single		Makes target easier to hit. Increase accuracy against marked target by 50%	
	4.2	dexterous_concentration	Concentration	Active	self		Ends turn. Becomes immobile next turn. Doubles Dexterity	
	4.2	dexterous_overdraw	Overdraw	Active	self	is_concentrating	Bow only: Spend extra normal attack AP cost additional damage. 25% chance to break weapon for each Overdraw.	
	4.2	dexterous_overdraw_meticulous	Overdraw: Meticulous	Passive			Reduce chance to break weapon on Overdraw to 5%	
	4.2	dexterous_aim	Aim	Active	self	is_concentrating	Doubles AP cost for increased accuracy. Must use both hands	
	4.2	dexterous_lightning_hand	Lightning Hand	Passive		is_concentrating	Attack with mounted ranged weapons counts as free action	
	4.2	dexterous_blood_trail_accuracy	Blood Trail: Accuracy	Passive			If target is less than 50% HP, increase 25% accuracy	
	4.2	dexterous_blood_trail_damage	Blood Trail: Damage	Passive			If target is less than 50% HP, increase 25% damage	
	4.2	dexterous_blood_trail_critical	Blood Trail: Critical	Passive			If target is less than 50% HP, add 50% critical chance	
	4.2	dexterous_depth_perception	Depth Perception	Passive			Increase Dodge and Accuracy against target at lower elevation	
	4.2	dexterous_implaccable	Implaccable	Passive		is_concentrating	Killing shot from Bow/Firearm does not end turn. Must be in Concentration.	
	4.2	dexterous_close_quarter	Close Quarter	Passive		is_concentrating	Free attack with Mounted weapons for each enemy that enters 3-tiles radius. Must be in Concentration.	
	4.2	dexterous_overwatch	Overwatch	Active	aoe	is_concentrating	Free attack with Bow/Firearm for one enemy that enters targeted 3-tiles radius. Must be in Concentration.	
	4.2	dexterous_overwatch_guardian	Overwatch: Guardian	Passive			If Overwatch hits, 50% chance for another Overwatch at same target. Must have readily available ammunitions. Does not benefit Bows overwatch.	
	4.2	dexterous_overwatch_stunlock	Overwatch: Stun Lock	Passive			Successful Overwatch has 25% chance to Stagger target	
	4.2	dexterous_untouchable	Untouchable	Passive		is_not_concentrating	Allows normal move after performing kill shot using Bow/Firearm. Must not be in Concentration	
	4.2	dexterous_crippling_shot	Crippling Shot	Active	enemy_single	has_equipped_physical_ranged	Maim one of target's legs.	
	4.2	dexterous_combat_arrow_recovery	Combat Arrow Recovery	Active	tile		Recover some arrows while in combat.	
	4.3	acrobatics_impulse_unlock	Unlock: Impulse	Passive			Unlock Impulse mechanics. Impulse meter increases with AGI stats.	
	4.3	acrobatics_dash	Dash	Active	self		Move rapidly in straight line at half AP cost. Generates Impulse	
	4.3	acrobatics_dash_dodge	Dash: Dodge	Passive			Increase dodge for the next turn if entire turn was spent moving	
	4.3	acrobatics_tailwind	Dash: Tailwind	Passive			Tiles that Acrobat traversed reduce allies' movement AP cost by 50%	
	4.3	acrobatics_slipslide	Slipslide	Active	self		Activate before ending turn. If attacked on the next turn, automatically moves back 3 steps once per activation. Consumes Impulse.	
	4.3	acrobatics_leap	Leap	Active	enemy_single		Requires 3 unoccupied tiles before target. Leap over a target. Consumes Impulse.	
	4.3	acrobatics_leap_quickshot	Leap: Quickslash	Passive			Free attack on target leapt upon. Can only attack with mounted weapons or fist at 50% damage output.	
	4.3	acrobatics_blink_strike	Blink Strike	Active	enemy_single		Instantly moves towards a target and perform free attack. 5 tiles distance. Consumes Impulse	
	4.3	acrobatics_backstab	Backstab	Active	enemy_single		Immediately move behind a target. Target must be in melee range. Consumes Impulse	
	4.3	acrobatics_fleche	Fleche	Active	enemy_single		Melee attack that gains bonus damage the further away the target is. Generates Impulse.	
	4.3	acrobatics_jump	Jump	Active	self		Allows change of elevation while moving. Consumes Impulse.	
	4.3	acrobatics_jump_gravity_defy	Jump: Gravity Defy	Passive			Throwing weapons while airborne does not cost AP.	
	4.3	acrobatics_jump_aerial_detonation	Jump: Aerial Detonation	Passive			When jumping towards lower elevation, trigger aerial shockwave blasts that damage all units and may Stagger them	
	4.3	acrobatics_mount	Mount	Active	mount		Allows mounting. Requires one hand to control mount	
	4.3	acrobatics_mount_powerkick	Mount: Powerkick	Passive			Use Mount to kick target. Free action. 50% chance to Stagger. Once per turn, consumes Impulse	
	4.3	acrobatics_mount_carry	Carry	Passive			Allows carry one ally while Mounted. Adds movement AP cost equal to 50% of that of carried unit's	
	4.3	acrobatics_mount_impetus	Impetus	Passive			Throwing and Bow damage is increased based on the number of tiles moved prior the attack. Capped to 7 tiles. Bonus improved with higher Impulse	
	4.3	acrobatics_mount_autoflank	Autoflank	Passive			All deadlock attack becomes Flank attack. Flank attack becomes Rear Assault. Rear Assault becomes Massive Assault.	
	5.1	sabotage_disarm_weapons	Disarm Weapons	Active	enemy_single	has_weapon_property_blunt	Disarm target's weapon or shield	
	5.1	sabotage_disarm_shield	Disarm Shield	Active	enemy_single	has_weapon_property_blunt	Disarm target's weapon or shield	
	5.1	sabotage_shatter_weapons	Shatter Weapons	Active	enemy_single	has_weapon_property_maul	Destroy target's weapon	
	5.1	sabotage_shatter_armor	Shatter Armor	Active	enemy_single	has_weapon_property_maul	Destroy target's armor	
	5.1	sabotage_shatter_shield	Shatter Shield	Active	enemy_single	has_weapon_property_maul	Destroy target's shield	
	5.1	sabotage_mime	Mime	Active	any		Copy target's Skill when used on caster. All prerequisites for Skill use applies.	
	5.1	sabotage_disorient	Disorient	Active	enemy_single		Disorient target. Disoriented target suffers penalty to accuracy and dodge.	
	5.1	sabotage_maim	Maim	Active	enemy_single	has_weapon_property_blunt	Maims target's limb. Maimed limbs are useless.	
	5.1	sabotage_shock	Shock	Active	enemy_single		Applies Shock to target. Shocked target lost all AP and lost all Dodge.	
	5.1	sabotage_rupture	Rupture	Active	enemy_single	has_weapon_property_sharp	Applies Rupture to target. Ruptured target takes double Body damage that is not negated for the next 1 attack.	
	5.1	sabotage_rupture_deep_wound	Rupture: Deep Wound	Passive			Rupture lasts for 3 attacks.	
	5.1	sabotage_bind	Bind	Active	enemy_single		Bind an enemy.	
	5.1	sabotage_diversion	Diversion	Active	ally_single		The next targeted-ranged attack against target is guaranteed to miss. Only 1 Diversion per Saboteur.	
	5.1	sabotage_jinx	Jinx	Active	enemy_single		Reinstate the last Physical Impairment removed from target. Does not end turn.	
	5.1	sabotage_pull	Pull	Active	enemy_single	has_harpoon	Pull a target towards caster. Does not end turn.	
	5.1	sabotage_grapple	Grapple	Active	tile	has_harpoon	Change to higher elevation instantly. Free action	
	5.1	sabotage_auxiliary_part	Auxilliary Part	Active	ally_single	has_auxilliary_part	Nullifies Shatter. Consumes Auxilliary Part. One Auxilliary Part per unit.	
	5.2	antimagic_disrupt	Disrupt	Active	enemy_single		Cancels Incantation skills	
	5.2	antimagic_disrupt_feedback	Disrupt: Feedback	Passive			Caster suffers 50% Body damage of the Mana used for the Incantation skill. Bypass any protection.	
	5.2	antimagic_disrupt_daze	Disrupt: Daze	Passive			25% chance to cause Daze on successful Disrupt	
	5.2	antimagic_dispel	Dispel	Active	enemy_single		Dispel each magical effects from an enemy.	
	5.2	antimagic_dispel_barrier	Dispel: Barrier	Passive			Dispel will immediately remove Barrier	
	5.2	antimagic_dispel_dispersal	Dispel: Dispersal	Passive			Enemies suffer 25% remaining Body damage based on the number of magical effects dispelled. Damage applies sequentially and cannot kill the target	
	5.2	antimagic_spell_breaker	Spell Breaker	Active	ally_single		Nullifies single-target magic attack against target. One Spell Breaker for each Anti-Mage. Caster has chance to suffer Daze.	
	5.2	antimagic_spell_breaker_deflect	Spell Breaker: Deflect				The offensive spell will be deflected to the caster.	
